amount,isFraud,Actual_amount_orig,Actual_amount_dest,type_CASH_IN,type_CASH_OUT,type_DEBIT,type_PAYMENT,type_TRANSFER
766151.45,1,766151.45,0.0,False,False,False,False,True
31315.51,1,31315.51,0.0,False,False,False,False,True
19043.02,0,19043.019999999997,0.0,False,False,False,True,False
11162.03,0,11162.029999999999,0.0,False,False,False,True,False
268851.8,0,220431.0,-268851.8099999998,False,True,False,False,False
10765.98,0,10765.980000000003,0.0,False,False,False,True,False
1409248.64,1,1409248.64,-1409248.6400000001,False,True,False,False,False
471253.81,0,12208.0,-471253.81000000006,False,True,False,False,False
155926.42,1,155926.42,-155926.42000000004,False,True,False,False,False
23639.56,1,23639.56,0.0,False,False,False,False,True
7636.65,0,0.0,0.0,False,False,False,True,False
282272.93,1,282272.93,0.0,False,False,False,False,True
530733.43,1,530733.43,-530733.43,False,True,False,False,False
30959.19,0,-30959.190000000002,30959.199999999983,True,False,False,False,False
5922.57,0,5922.57,0.0,False,False,False,True,False
2491.85,1,2491.85,-2491.8499999999767,False,True,False,False,False
7622.01,0,4829.0,-452775.63999999996,False,True,False,False,False
128893.5,1,128893.5,-128893.48999999999,False,True,False,False,False
21829.31,1,21829.31,-21829.309999999998,False,True,False,False,False
217666.25,1,217666.25,-217666.25,False,True,False,False,False
146743.13,1,146743.13,0.0,False,False,False,False,True
224913.14,1,224913.14,0.0,False,False,False,False,True
17455.94,0,11155.0,0.0,False,False,False,True,False
181.0,1,181.0,21182.0,False,True,False,False,False
964388.1,1,964388.1,0.0,False,False,False,False,True
82201.76,0,11368.0,-82201.76,False,True,False,False,False
18290.61,0,0.0,0.0,False,False,False,True,False
518549.9,0,0.0,-518549.89,False,False,False,False,True
1209444.33,0,0.0,-1209444.33,False,False,False,False,True
14545.46,0,14545.46,0.0,False,False,False,True,False
213600.63,0,0.0,-213600.64000000013,False,True,False,False,False
24531.09,0,0.0,0.0,False,False,False,True,False
12826.73,0,5702.0,0.0,False,False,False,True,False
339682.13,1,339682.13,-339682.13,False,True,False,False,False
7166.88,0,0.0,0.0,False,False,False,True,False
5494862.93,1,5494862.93,0.0,False,False,False,False,True
1932200.59,1,1932200.59,-1932200.59,False,True,False,False,False
816452.19,1,816452.19,-816452.19,False,True,False,False,False
63232.52,0,-63232.52,0.0,True,False,False,False,False
27276.07,1,27276.07,0.0,False,False,False,False,True
120406.39,1,120406.39,-120406.39,False,True,False,False,False
1968008.53,1,1968008.53,-1968008.54,False,True,False,False,False
72665.95,1,72665.95,0.0,False,False,False,False,True
723915.85,1,723915.85,-723915.85,False,True,False,False,False
93454.21,0,-93454.2,93454.20000000001,True,False,False,False,False
3551022.86,1,3551022.86,-3551022.86,False,True,False,False,False
73051.02,1,73051.02,0.0,False,False,False,False,True
19262.14,0,10568.0,-19262.13000000012,False,True,False,False,False
